assessment_id,student_id,skill,knowledge_score,problem_solving_score,coding_score,final_score,proficiency,assessment_type
ASM00403,STU0024,SQL,87,90,62,77.9,Intermediate,practice
ASM00404,STU0227,SQL,68,71,78,72.9,Intermediate,proctored
ASM00405,STU0055,Docker,52,90,68,69.8,Beginner,proctored
ASM00406,STU0010,C++,59,88,61,68.5,Beginner,practice
ASM00407,STU0211,JavaScript,68,95,56,71.3,Intermediate,practice
ASM00408,STU0393,MongoDB,83,46,45,56.7,Beginner,practice
ASM00409,STU0001,FastAPI,76,97,94,89.5,Advanced,practice
ASM00410,STU0496,FastAPI,76,69,98,82.7,Intermediate,proctored
ASM00411,STU0409,HTML/CSS,46,96,62,67.4,Beginner,proctored
ASM00412,STU0093,Java,89,53,52,63.4,Beginner,practice
ASM00413,STU0364,FastAPI,78,89,64,75.7,Intermediate,proctored
ASM00414,STU0004,Firebase,72,52,57,60.0,Beginner,practice
ASM00415,STU0222,Docker,87,44,48,58.5,Beginner,proctored
ASM00416,STU0004,Docker,98,71,57,73.5,Intermediate,practice
ASM00417,STU0463,Java,87,47,87,75.0,Intermediate,proctored
ASM00418,STU0375,MongoDB,76,78,88,81.4,Intermediate,practice
ASM00419,STU0296,Firebase,95,94,78,87.9,Advanced,proctored
ASM00420,STU0239,Java,80,98,99,93.0,Advanced,practice
ASM00421,STU0357,Machine Learning,99,43,98,81.8,Intermediate,proctored
ASM00422,STU0109,FastAPI,83,71,87,81.0,Intermediate,practice
ASM00423,STU0452,MongoDB,49,72,63,61.5,Beginner,practice
ASM00424,STU0263,Docker,46,74,89,71.6,Intermediate,practice
ASM00425,STU0398,React,76,69,65,69.5,Beginner,proctored
ASM00426,STU0027,C++,98,97,76,88.9,Advanced,proctored
ASM00427,STU0331,Python,70,55,71,65.9,Beginner,practice
ASM00428,STU0316,Git,79,94,90,87.9,Advanced,practice
ASM00429,STU0401,Node.js,60,69,83,71.9,Intermediate,practice
ASM00430,STU0446,HTML/CSS,59,57,47,53.6,Beginner,proctored
ASM00431,STU0232,Machine Learning,77,97,93,89.4,Advanced,proctored
ASM00432,STU0381,Machine Learning,48,64,80,65.6,Beginner,practice
ASM00433,STU0146,Docker,54,59,89,69.5,Beginner,practice
ASM00434,STU0426,SQL,76,46,84,70.2,Intermediate,practice
ASM00435,STU0016,Firebase,91,86,56,75.5,Intermediate,proctored
ASM00436,STU0175,Git,81,98,72,82.5,Intermediate,proctored
ASM00437,STU0472,Git,73,61,80,72.2,Intermediate,proctored
ASM00438,STU0237,HTML/CSS,78,85,90,84.9,Intermediate,practice
ASM00439,STU0187,FastAPI,94,60,68,73.4,Intermediate,proctored
ASM00440,STU0473,Docker,71,61,66,66.0,Beginner,proctored
ASM00441,STU0194,Data Science,73,59,92,76.4,Intermediate,proctored
ASM00442,STU0157,Docker,42,71,93,71.1,Intermediate,proctored
ASM00443,STU0030,Data Science,81,82,46,67.3,Beginner,practice
ASM00444,STU0239,Machine Learning,46,96,98,81.8,Intermediate,proctored
ASM00445,STU0162,Docker,41,81,80,68.6,Beginner,proctored
ASM00446,STU0252,FastAPI,74,53,64,63.7,Beginner,proctored
ASM00447,STU0077,React,52,85,85,75.1,Intermediate,practice
ASM00448,STU0145,Python,55,97,52,66.4,Beginner,practice
ASM00449,STU0298,Git,78,61,48,60.9,Beginner,practice
ASM00450,STU0350,HTML/CSS,42,86,51,58.8,Beginner,proctored
ASM00451,STU0045,HTML/CSS,48,99,92,80.9,Intermediate,practice
ASM00452,STU0162,React,50,69,55,57.7,Beginner,practice
ASM00453,STU0356,Docker,85,61,91,80.2,Intermediate,proctored
ASM00454,STU0146,Git,68,49,56,57.5,Beginner,proctored
ASM00455,STU0097,JavaScript,48,55,57,53.7,Beginner,practice
ASM00456,STU0250,Java,58,67,90,73.5,Intermediate,practice
ASM00457,STU0454,Python,77,55,85,73.6,Intermediate,practice
ASM00458,STU0161,SQL,62,84,68,71.0,Intermediate,proctored
ASM00459,STU0468,JavaScript,42,42,66,51.6,Beginner,proctored
ASM00460,STU0241,Node.js,44,52,66,55.2,Beginner,practice
ASM00461,STU0136,Firebase,99,90,63,81.9,Intermediate,practice
ASM00462,STU0410,Data Science,91,65,47,65.6,Beginner,proctored
ASM00463,STU0056,FastAPI,76,55,99,78.9,Intermediate,proctored
ASM00464,STU0490,Docker,49,70,83,68.9,Beginner,proctored
ASM00465,STU0432,Machine Learning,60,41,68,57.5,Beginner,practice
ASM00466,STU0053,Firebase,49,50,95,67.7,Beginner,proctored
ASM00467,STU0465,FastAPI,81,55,81,73.2,Intermediate,proctored
ASM00468,STU0187,Machine Learning,58,58,66,61.2,Beginner,practice
ASM00469,STU0128,Docker,40,99,56,64.1,Beginner,practice
ASM00470,STU0190,SQL,91,100,61,81.7,Intermediate,practice
ASM00471,STU0027,JavaScript,66,53,85,69.7,Beginner,practice
ASM00472,STU0220,Python,71,71,71,71.0,Intermediate,practice
ASM00473,STU0473,HTML/CSS,53,54,81,64.5,Beginner,proctored
ASM00474,STU0250,Machine Learning,94,52,76,74.2,Intermediate,proctored
ASM00475,STU0135,Docker,92,66,42,64.2,Beginner,proctored
ASM00476,STU0267,JavaScript,84,87,92,88.1,Advanced,proctored
ASM00477,STU0205,Git,64,86,82,77.8,Intermediate,proctored
ASM00478,STU0486,Machine Learning,96,99,76,88.9,Advanced,proctored
ASM00479,STU0095,Docker,51,49,43,47.2,Not Verified,practice
ASM00480,STU0192,SQL,83,41,65,63.2,Beginner,proctored
ASM00481,STU0235,HTML/CSS,78,42,67,62.8,Beginner,practice
ASM00482,STU0013,Firebase,86,44,61,63.4,Beginner,proctored
ASM00483,STU0089,Python,43,53,77,59.6,Beginner,proctored
ASM00484,STU0130,Node.js,79,42,69,63.9,Beginner,practice
ASM00485,STU0307,Data Science,97,50,98,83.3,Intermediate,proctored
ASM00486,STU0196,JavaScript,86,44,75,69.0,Beginner,proctored
ASM00487,STU0352,React,88,83,92,88.1,Advanced,proctored
ASM00488,STU0302,C++,80,94,93,89.4,Advanced,proctored
ASM00489,STU0380,Git,50,76,98,77.0,Intermediate,practice
ASM00490,STU0401,Docker,79,49,47,57.2,Beginner,proctored
ASM00491,STU0436,SQL,54,41,70,56.5,Beginner,proctored
ASM00492,STU0082,JavaScript,98,66,42,66.0,Beginner,proctored
ASM00493,STU0460,FastAPI,48,96,49,62.8,Beginner,proctored
ASM00494,STU0335,Data Science,68,87,57,69.3,Beginner,proctored
ASM00495,STU0233,HTML/CSS,43,60,58,54.1,Beginner,practice
ASM00496,STU0252,C++,74,74,96,82.8,Intermediate,practice
ASM00497,STU0405,JavaScript,97,75,99,91.2,Advanced,proctored
ASM00498,STU0032,Machine Learning,52,49,50,50.3,Beginner,proctored
ASM00499,STU0492,Java,50,66,76,65.2,Beginner,proctored
ASM00500,STU0462,Node.js,56,66,85,70.6,Intermediate,practice
ASM00501,STU0188,FastAPI,77,60,48,60.3,Beginner,practice
ASM00502,STU0252,Machine Learning,40,94,76,70.6,Intermediate,practice
ASM00503,STU0420,C++,92,41,81,72.3,Intermediate,practice
ASM00504,STU0454,MongoDB,100,56,68,74.0,Intermediate,proctored
ASM00505,STU0356,Docker,56,98,92,83.0,Intermediate,practice
ASM00506,STU0091,SQL,69,53,68,63.8,Beginner,practice
ASM00507,STU0356,Node.js,70,71,75,72.3,Intermediate,practice
ASM00508,STU0008,Data Science,40,91,84,72.9,Intermediate,practice
ASM00509,STU0214,SQL,70,69,69,69.3,Beginner,proctored
ASM00510,STU0223,Java,49,97,79,75.4,Intermediate,practice
ASM00511,STU0489,Firebase,49,74,59,60.5,Beginner,proctored
ASM00512,STU0205,FastAPI,43,90,78,71.1,Intermediate,proctored
ASM00513,STU0263,HTML/CSS,49,97,65,69.8,Beginner,proctored
ASM00514,STU0363,Docker,88,64,56,68.0,Beginner,proctored
ASM00515,STU0225,Python,40,61,52,51.1,Beginner,practice
ASM00516,STU0039,Docker,73,100,67,78.7,Intermediate,proctored
ASM00517,STU0172,Machine Learning,86,85,65,77.3,Intermediate,proctored
ASM00518,STU0407,React,44,84,93,75.6,Intermediate,practice
ASM00519,STU0194,Node.js,70,95,76,79.9,Intermediate,practice
ASM00520,STU0326,Java,49,69,77,66.2,Beginner,proctored
ASM00521,STU0460,Java,96,51,88,79.3,Intermediate,practice
ASM00522,STU0069,FastAPI,83,63,55,65.8,Beginner,practice
ASM00523,STU0345,Docker,57,45,93,67.8,Beginner,practice
ASM00524,STU0406,Python,45,76,78,67.5,Beginner,proctored
ASM00525,STU0316,FastAPI,83,56,75,71.7,Intermediate,proctored
ASM00526,STU0268,Data Science,40,99,84,75.3,Intermediate,proctored
ASM00527,STU0242,Python,84,72,89,82.4,Intermediate,practice
ASM00528,STU0249,MongoDB,97,46,63,68.1,Beginner,proctored
ASM00529,STU0021,Data Science,69,81,46,63.4,Beginner,proctored
ASM00530,STU0242,MongoDB,58,43,58,53.5,Beginner,proctored
ASM00531,STU0116,Machine Learning,75,77,63,70.8,Intermediate,practice
ASM00532,STU0306,Machine Learning,68,84,49,65.2,Beginner,practice
ASM00533,STU0212,Java,82,43,60,61.5,Beginner,proctored
ASM00534,STU0047,Python,99,93,76,88.0,Advanced,proctored
ASM00535,STU0027,Docker,70,43,92,70.7,Intermediate,proctored
ASM00536,STU0255,FastAPI,87,63,41,61.4,Beginner,proctored
ASM00537,STU0007,SQL,43,49,62,52.4,Beginner,practice
ASM00538,STU0290,Data Science,50,83,88,75.1,Intermediate,proctored
ASM00539,STU0361,Docker,79,51,42,55.8,Beginner,proctored
ASM00540,STU0007,Docker,51,79,97,77.8,Intermediate,practice
ASM00541,STU0187,Firebase,79,90,78,81.9,Intermediate,practice
ASM00542,STU0138,Docker,69,83,84,79.2,Intermediate,practice
ASM00543,STU0328,React,95,78,67,78.7,Intermediate,practice
ASM00544,STU0305,MongoDB,87,68,87,81.3,Intermediate,practice
ASM00545,STU0131,MongoDB,88,50,62,66.2,Beginner,proctored
ASM00546,STU0197,Docker,83,83,79,81.4,Intermediate,practice
ASM00547,STU0343,Docker,50,43,58,51.1,Beginner,proctored
ASM00548,STU0208,Node.js,47,62,89,68.3,Beginner,proctored
ASM00549,STU0226,Node.js,42,100,90,78.6,Intermediate,practice
ASM00550,STU0048,Firebase,97,52,55,66.7,Beginner,practice
ASM00551,STU0480,HTML/CSS,79,89,54,72.0,Intermediate,practice
ASM00552,STU0405,Machine Learning,90,88,65,79.4,Intermediate,practice
ASM00553,STU0195,FastAPI,47,87,83,73.4,Intermediate,practice
ASM00554,STU0393,Firebase,40,93,73,69.1,Beginner,practice
ASM00555,STU0176,Data Science,89,45,91,76.6,Intermediate,practice
ASM00556,STU0155,Git,82,42,91,73.6,Intermediate,practice
ASM00557,STU0267,Node.js,79,86,65,75.5,Intermediate,proctored
ASM00558,STU0141,Node.js,77,79,42,63.6,Beginner,proctored
ASM00559,STU0109,MongoDB,91,61,72,74.4,Intermediate,practice
ASM00560,STU0088,Node.js,87,42,83,71.9,Intermediate,practice
ASM00561,STU0228,Node.js,56,61,41,51.5,Beginner,practice
ASM00562,STU0108,JavaScript,56,63,88,70.9,Intermediate,proctored
ASM00563,STU0163,JavaScript,68,87,77,77.3,Intermediate,proctored
ASM00564,STU0050,Firebase,47,45,84,61.2,Beginner,proctored
ASM00565,STU0467,C++,73,63,91,77.2,Intermediate,proctored
ASM00566,STU0493,FastAPI,56,66,83,69.8,Beginner,practice
ASM00567,STU0460,FastAPI,79,75,82,79.0,Intermediate,practice
ASM00568,STU0306,React,92,50,44,60.2,Beginner,proctored
ASM00569,STU0183,MongoDB,76,66,47,61.4,Beginner,proctored
ASM00570,STU0027,MongoDB,82,69,86,79.7,Intermediate,proctored
ASM00571,STU0334,Node.js,84,99,94,92.5,Advanced,proctored
ASM00572,STU0450,HTML/CSS,42,96,49,61.0,Beginner,proctored
ASM00573,STU0337,MongoDB,66,56,49,56.2,Beginner,practice
ASM00574,STU0316,Data Science,82,99,48,73.5,Intermediate,proctored
ASM00575,STU0172,MongoDB,61,58,74,65.3,Beginner,proctored
ASM00576,STU0422,Git,73,95,96,88.8,Advanced,practice
ASM00577,STU0472,HTML/CSS,75,95,46,69.4,Beginner,proctored
ASM00578,STU0496,Java,94,88,91,91.0,Advanced,practice
ASM00579,STU0241,Docker,56,78,86,74.6,Intermediate,practice
ASM00580,STU0229,Node.js,64,40,58,54.4,Beginner,proctored
ASM00581,STU0299,React,99,69,46,68.8,Beginner,practice
ASM00582,STU0370,FastAPI,98,56,83,79.4,Intermediate,practice
ASM00583,STU0407,Firebase,51,45,56,51.2,Beginner,practice
ASM00584,STU0041,Data Science,51,71,61,61.0,Beginner,proctored
ASM00585,STU0415,Node.js,62,91,49,65.5,Beginner,proctored
ASM00586,STU0217,Data Science,95,100,93,95.7,Advanced,practice
ASM00587,STU0318,Firebase,72,73,81,75.9,Intermediate,practice
ASM00588,STU0302,FastAPI,73,69,100,82.6,Intermediate,practice
ASM00589,STU0170,Node.js,57,61,72,64.2,Beginner,practice
ASM00590,STU0453,Data Science,88,58,44,61.4,Beginner,proctored
ASM00591,STU0143,Python,47,98,79,75.1,Intermediate,proctored
ASM00592,STU0370,Firebase,77,84,53,69.5,Beginner,practice
ASM00593,STU0456,Firebase,40,84,61,61.6,Beginner,practice
ASM00594,STU0094,C++,69,61,82,71.8,Intermediate,proctored
ASM00595,STU0358,Git,53,56,64,58.3,Beginner,proctored
ASM00596,STU0265,Git,41,47,49,46.0,Not Verified,practice
ASM00597,STU0431,FastAPI,58,90,58,67.6,Beginner,practice
ASM00598,STU0310,React,67,86,90,81.9,Intermediate,practice
ASM00599,STU0209,Java,98,96,44,75.8,Intermediate,practice
ASM00600,STU0210,FastAPI,91,65,48,66.0,Beginner,proctored
ASM00601,STU0360,Firebase,55,95,97,83.8,Intermediate,proctored
ASM00602,STU0495,HTML/CSS,69,41,82,65.8,Beginner,practice
ASM00603,STU0172,Git,56,73,41,55.1,Beginner,practice
ASM00604,STU0496,React,46,64,42,49.8,Not Verified,proctored
ASM00605,STU0362,JavaScript,68,80,99,84.0,Intermediate,practice
ASM00606,STU0124,React,43,53,93,66.0,Beginner,practice
ASM00607,STU0492,Docker,51,91,96,81.0,Intermediate,practice
ASM00608,STU0035,FastAPI,66,80,81,76.2,Intermediate,proctored
ASM00609,STU0146,Node.js,69,95,95,87.2,Advanced,practice
ASM00610,STU0215,React,95,44,91,78.1,Intermediate,proctored
ASM00611,STU0067,Docker,44,53,74,58.7,Beginner,proctored
ASM00612,STU0252,FastAPI,94,51,75,73.5,Intermediate,practice
ASM00613,STU0277,HTML/CSS,91,43,97,79.0,Intermediate,practice
ASM00614,STU0214,Java,60,84,96,81.6,Intermediate,practice
ASM00615,STU0178,Git,95,72,61,74.5,Intermediate,practice
ASM00616,STU0193,React,62,67,60,62.7,Beginner,practice
ASM00617,STU0041,FastAPI,99,41,50,62.0,Beginner,proctored
ASM00618,STU0174,JavaScript,44,100,50,63.2,Beginner,practice
ASM00619,STU0222,Git,42,98,99,81.6,Intermediate,practice
ASM00620,STU0428,Git,57,64,77,67.1,Beginner,practice
ASM00621,STU0090,FastAPI,72,96,50,70.4,Intermediate,practice
ASM00622,STU0230,Firebase,42,61,49,50.5,Beginner,proctored
ASM00623,STU0125,Java,82,54,93,78.0,Intermediate,proctored
ASM00624,STU0418,Git,74,75,95,82.7,Intermediate,practice
ASM00625,STU0047,HTML/CSS,86,88,95,90.2,Advanced,proctored
ASM00626,STU0108,C++,50,98,41,60.8,Beginner,proctored
ASM00627,STU0445,Machine Learning,100,64,73,78.4,Intermediate,practice
ASM00628,STU0151,JavaScript,90,68,99,87.0,Advanced,practice
ASM00629,STU0280,Machine Learning,48,67,100,74.5,Intermediate,practice
ASM00630,STU0096,Data Science,49,73,69,64.2,Beginner,practice
ASM00631,STU0015,C++,55,49,40,47.2,Not Verified,practice
ASM00632,STU0230,FastAPI,54,93,57,66.9,Beginner,practice
ASM00633,STU0497,Java,87,40,66,64.5,Beginner,proctored
ASM00634,STU0341,FastAPI,54,92,54,65.4,Beginner,practice
ASM00635,STU0327,Docker,62,92,95,84.2,Intermediate,practice
ASM00636,STU0246,React,61,97,67,74.2,Intermediate,proctored
ASM00637,STU0099,Docker,48,94,91,79.0,Intermediate,practice
ASM00638,STU0256,Docker,85,89,42,69.0,Beginner,proctored
ASM00639,STU0131,SQL,53,61,73,63.4,Beginner,practice
ASM00640,STU0362,Git,70,53,43,54.1,Beginner,proctored
ASM00641,STU0398,Data Science,54,87,80,74.3,Intermediate,proctored
ASM00642,STU0088,FastAPI,62,92,99,85.8,Advanced,practice
ASM00643,STU0473,Firebase,41,59,85,64.0,Beginner,proctored
ASM00644,STU0404,Node.js,42,88,86,73.4,Intermediate,proctored
ASM00645,STU0170,SQL,61,58,98,74.9,Intermediate,practice
ASM00646,STU0267,Git,86,90,84,86.4,Advanced,proctored
ASM00647,STU0297,HTML/CSS,68,97,98,88.7,Advanced,practice
ASM00648,STU0333,Python,58,46,46,49.6,Not Verified,practice
ASM00649,STU0245,FastAPI,74,94,44,68.0,Beginner,practice
ASM00650,STU0404,Git,66,80,90,79.8,Intermediate,practice
ASM00651,STU0205,MongoDB,81,69,54,66.6,Beginner,practice
ASM00652,STU0431,HTML/CSS,95,61,64,72.4,Intermediate,proctored
ASM00653,STU0153,Node.js,72,82,99,85.8,Advanced,practice
ASM00654,STU0383,Docker,67,71,87,76.2,Intermediate,proctored
ASM00655,STU0107,JavaScript,85,51,79,72.4,Intermediate,proctored
ASM00656,STU0494,C++,50,58,74,62.0,Beginner,practice
ASM00657,STU0181,FastAPI,69,98,84,83.7,Intermediate,practice
ASM00658,STU0015,Python,82,94,67,79.6,Intermediate,proctored
ASM00659,STU0123,Docker,79,56,100,80.5,Intermediate,practice
ASM00660,STU0299,MongoDB,77,83,93,85.2,Advanced,practice
ASM00661,STU0491,JavaScript,66,57,42,53.7,Beginner,practice
ASM00662,STU0212,Python,80,75,78,77.7,Intermediate,practice
ASM00663,STU0106,Python,45,48,100,67.9,Beginner,proctored
ASM00664,STU0116,MongoDB,55,76,72,68.1,Beginner,proctored
ASM00665,STU0356,Java,55,86,100,82.3,Intermediate,practice
ASM00666,STU0047,MongoDB,88,64,49,65.2,Beginner,proctored
ASM00667,STU0127,SQL,67,75,79,74.2,Intermediate,proctored
ASM00668,STU0165,Firebase,96,75,89,86.9,Advanced,proctored
ASM00669,STU0020,FastAPI,83,41,100,77.2,Intermediate,proctored
ASM00670,STU0188,MongoDB,53,53,69,59.4,Beginner,practice
ASM00671,STU0429,HTML/CSS,52,60,65,59.6,Beginner,practice
ASM00672,STU0011,JavaScript,80,81,68,75.5,Intermediate,practice
ASM00673,STU0085,FastAPI,89,69,44,65.0,Beginner,practice
ASM00674,STU0475,Machine Learning,63,78,67,69.1,Beginner,practice
ASM00675,STU0237,C++,98,77,82,85.3,Advanced,practice
ASM00676,STU0181,Data Science,61,76,61,65.5,Beginner,practice
ASM00677,STU0500,SQL,41,97,61,65.8,Beginner,practice
ASM00678,STU0460,Docker,55,84,80,73.7,Intermediate,practice
ASM00679,STU0069,Git,85,80,45,67.5,Beginner,practice
ASM00680,STU0059,Node.js,72,63,96,78.9,Intermediate,practice
ASM00681,STU0460,Java,75,54,79,70.3,Intermediate,practice
ASM00682,STU0483,JavaScript,84,60,48,62.4,Beginner,practice
ASM00683,STU0074,HTML/CSS,99,43,100,82.6,Intermediate,practice
ASM00684,STU0458,Docker,89,73,81,81.0,Intermediate,proctored
ASM00685,STU0397,HTML/CSS,44,65,81,65.1,Beginner,practice
ASM00686,STU0050,MongoDB,44,79,80,68.9,Beginner,proctored
ASM00687,STU0048,Node.js,93,98,63,82.5,Intermediate,practice
ASM00688,STU0152,C++,58,60,49,55.0,Beginner,proctored
ASM00689,STU0412,React,42,90,91,76.0,Intermediate,proctored
ASM00690,STU0243,Docker,64,88,79,77.2,Intermediate,practice
ASM00691,STU0238,React,41,72,86,68.3,Beginner,proctored
ASM00692,STU0154,Python,52,92,86,77.6,Intermediate,practice
ASM00693,STU0350,MongoDB,55,51,86,66.2,Beginner,proctored
ASM00694,STU0403,JavaScript,87,58,96,81.9,Intermediate,practice
ASM00695,STU0005,C++,84,51,77,71.3,Intermediate,proctored
ASM00696,STU0396,Machine Learning,54,58,81,66.0,Beginner,proctored
ASM00697,STU0295,Node.js,45,51,91,65.2,Beginner,proctored
ASM00698,STU0422,FastAPI,97,42,63,66.9,Beginner,proctored
ASM00699,STU0182,Data Science,76,60,77,71.6,Intermediate,proctored
ASM00700,STU0363,Python,58,99,92,83.9,Intermediate,practice
ASM00701,STU0312,Firebase,56,45,48,49.5,Not Verified,proctored
ASM00702,STU0463,JavaScript,60,59,66,62.1,Beginner,proctored
ASM00703,STU0045,FastAPI,97,78,45,70.5,Intermediate,proctored
ASM00704,STU0105,HTML/CSS,59,87,86,78.2,Intermediate,proctored
ASM00705,STU0135,HTML/CSS,72,85,63,72.3,Intermediate,practice
ASM00706,STU0036,React,53,78,89,74.9,Intermediate,practice
ASM00707,STU0355,JavaScript,97,69,67,76.6,Intermediate,practice
ASM00708,STU0045,JavaScript,71,55,58,61.0,Beginner,proctored
ASM00709,STU0060,HTML/CSS,47,49,41,45.2,Not Verified,proctored
ASM00710,STU0318,Java,96,84,85,88.0,Advanced,proctored
ASM00711,STU0258,Java,54,42,45,46.8,Not Verified,practice
ASM00712,STU0304,MongoDB,59,75,42,57.0,Beginner,proctored
ASM00713,STU0317,FastAPI,100,78,43,70.6,Intermediate,proctored
ASM00714,STU0297,Machine Learning,83,66,59,68.3,Beginner,practice
ASM00715,STU0081,React,47,92,76,72.1,Intermediate,proctored
ASM00716,STU0347,Git,95,77,42,68.4,Beginner,proctored
ASM00717,STU0036,Docker,53,52,60,55.5,Beginner,practice
ASM00718,STU0494,FastAPI,86,92,84,87.0,Advanced,proctored
ASM00719,STU0049,Data Science,49,54,88,66.1,Beginner,practice
ASM00720,STU0452,MongoDB,80,65,71,71.9,Intermediate,proctored
ASM00721,STU0154,Firebase,85,96,84,87.9,Advanced,proctored
ASM00722,STU0467,Data Science,45,40,94,63.1,Beginner,proctored
ASM00723,STU0354,FastAPI,97,76,45,69.9,Beginner,proctored
ASM00724,STU0455,FastAPI,90,88,70,81.4,Intermediate,practice
ASM00725,STU0019,SQL,92,95,41,72.5,Intermediate,proctored
ASM00726,STU0123,C++,53,90,50,62.9,Beginner,proctored
ASM00727,STU0391,Firebase,55,57,100,73.6,Intermediate,practice
ASM00728,STU0304,SQL,67,41,71,60.8,Beginner,proctored
ASM00729,STU0132,Firebase,73,70,89,78.5,Intermediate,practice
ASM00730,STU0177,Python,92,85,71,81.5,Intermediate,practice
ASM00731,STU0178,HTML/CSS,85,49,62,65.0,Beginner,practice
ASM00732,STU0078,React,44,92,64,66.4,Beginner,proctored
ASM00733,STU0061,Machine Learning,41,93,52,61.0,Beginner,practice
ASM00734,STU0492,Docker,72,86,44,65.0,Beginner,proctored
ASM00735,STU0334,MongoDB,82,87,89,86.3,Advanced,proctored
ASM00736,STU0162,HTML/CSS,96,84,88,89.2,Advanced,practice
ASM00737,STU0500,MongoDB,41,52,88,63.1,Beginner,practice
ASM00738,STU0441,HTML/CSS,53,43,67,55.6,Beginner,practice
ASM00739,STU0446,Data Science,41,40,62,49.1,Not Verified,practice
ASM00740,STU0207,Firebase,78,95,93,89.1,Advanced,practice
ASM00741,STU0204,Docker,78,55,95,77.9,Intermediate,proctored
ASM00742,STU0393,React,53,84,69,68.7,Beginner,proctored
ASM00743,STU0015,Data Science,46,87,83,73.1,Intermediate,practice
ASM00744,STU0268,MongoDB,40,90,41,55.4,Beginner,practice
ASM00745,STU0444,Firebase,44,57,81,62.7,Beginner,proctored
ASM00746,STU0287,Machine Learning,52,55,51,52.5,Beginner,proctored
ASM00747,STU0153,React,94,41,91,76.9,Intermediate,practice
ASM00748,STU0173,Firebase,74,89,71,77.3,Intermediate,practice
ASM00749,STU0147,Firebase,84,74,84,81.0,Intermediate,proctored
ASM00750,STU0320,Firebase,81,50,55,61.3,Beginner,practice
ASM00751,STU0172,Git,86,40,93,75.0,Intermediate,practice
ASM00752,STU0096,JavaScript,73,94,96,88.5,Advanced,practice
ASM00753,STU0468,FastAPI,93,84,49,72.7,Intermediate,practice
ASM00754,STU0282,SQL,87,57,62,68.0,Beginner,practice
ASM00755,STU0446,Java,53,79,89,75.2,Intermediate,proctored
ASM00756,STU0458,Git,66,90,41,63.2,Beginner,proctored
ASM00757,STU0471,Node.js,73,95,50,70.4,Intermediate,proctored
ASM00758,STU0220,Data Science,74,75,98,83.9,Intermediate,proctored
ASM00759,STU0281,C++,71,52,65,62.9,Beginner,proctored
ASM00760,STU0075,React,74,41,42,51.3,Beginner,practice
ASM00761,STU0356,React,66,56,68,63.8,Beginner,practice
ASM00762,STU0266,Node.js,66,66,97,78.4,Intermediate,practice
ASM00763,STU0265,Machine Learning,87,70,100,87.1,Advanced,practice
ASM00764,STU0051,Machine Learning,54,71,89,73.1,Intermediate,proctored
ASM00765,STU0067,Python,65,54,46,54.1,Beginner,practice
ASM00766,STU0171,SQL,96,50,76,74.2,Intermediate,practice
ASM00767,STU0247,Machine Learning,42,47,56,49.1,Not Verified,practice
ASM00768,STU0263,Node.js,40,72,46,52.0,Beginner,proctored
ASM00769,STU0384,HTML/CSS,57,56,91,70.3,Intermediate,proctored
ASM00770,STU0190,Data Science,51,74,47,56.3,Beginner,practice
ASM00771,STU0365,React,84,64,97,83.2,Intermediate,proctored
ASM00772,STU0038,Machine Learning,74,64,47,60.2,Beginner,proctored
ASM00773,STU0158,Machine Learning,98,41,95,79.7,Intermediate,proctored
ASM00774,STU0450,Machine Learning,44,45,73,55.9,Beginner,proctored
ASM00775,STU0205,C++,87,41,90,74.4,Intermediate,practice
ASM00776,STU0175,SQL,85,80,57,72.3,Intermediate,practice
ASM00777,STU0498,SQL,98,56,51,66.6,Beginner,practice
ASM00778,STU0257,React,64,72,88,76.0,Intermediate,practice
ASM00779,STU0474,MongoDB,100,89,94,94.3,Advanced,proctored
ASM00780,STU0256,Data Science,45,57,91,67.0,Beginner,proctored
ASM00781,STU0102,Node.js,96,91,83,89.3,Advanced,practice
ASM00782,STU0324,Docker,60,57,61,59.5,Beginner,practice
ASM00783,STU0346,Machine Learning,90,67,41,63.5,Beginner,proctored
ASM00784,STU0119,Python,94,45,45,59.7,Beginner,practice
ASM00785,STU0330,JavaScript,49,71,89,71.6,Intermediate,proctored
ASM00786,STU0490,React,73,64,91,77.5,Intermediate,practice
ASM00787,STU0465,Node.js,83,48,84,72.9,Intermediate,proctored
ASM00788,STU0334,MongoDB,86,89,68,79.7,Intermediate,proctored
ASM00789,STU0200,HTML/CSS,73,54,74,67.7,Beginner,practice
ASM00790,STU0337,HTML/CSS,95,43,100,81.4,Intermediate,practice
ASM00791,STU0429,Docker,80,68,41,60.8,Beginner,proctored
ASM00792,STU0133,Python,89,85,78,83.4,Intermediate,proctored
ASM00793,STU0209,Docker,98,98,63,84.0,Intermediate,proctored
ASM00794,STU0279,Java,44,52,66,55.2,Beginner,practice
ASM00795,STU0439,Firebase,88,89,100,93.1,Advanced,proctored
ASM00796,STU0124,Node.js,92,73,80,81.5,Intermediate,practice
ASM00797,STU0288,Node.js,52,95,87,78.9,Intermediate,practice
ASM00798,STU0417,Data Science,42,40,84,58.2,Beginner,practice
ASM00799,STU0089,HTML/CSS,71,99,76,81.4,Intermediate,practice
ASM00800,STU0365,Docker,76,61,96,79.5,Intermediate,proctored
ASM00801,STU0157,HTML/CSS,51,78,62,63.5,Beginner,practice
ASM00802,STU0146,Git,87,64,67,72.1,Intermediate,practice
ASM00803,STU0151,JavaScript,93,45,87,76.2,Intermediate,practice
